"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Douglas County, Colorado",4896.775,4896.775,0.0,0.0,1.0,275476.0,1145.5785714285712,1145.5785714285712,0.0,0.0,1.0,41142.0
"Douglas County, Georgia",422.0964285714285,422.0964285714285,0.0,0.0,1.0,83056.0,352.5178571428571,352.5178571428571,0.0,0.0,1.0,17720.0
"Douglas County, Illinois",128.50290885585855,154.6819650937323,26.179056237879728,26.179056237879728,0.0,13855.0,-153.3676865287125,-219.61695932596922,-62.12314157489891,-70.37540401875594,0.0,2890.0
"Douglas County, Kansas",667.4857142857143,667.4857142857143,0.0,0.0,1.0,61026.0,224.31785714285715,224.31785714285715,0.0,0.0,1.0,34584.0
"Douglas County, Minnesota",123.75714285714282,123.75714285714282,0.0,0.0,1.0,25752.0,143.49951519069145,161.30300581771007,17.803490627020004,17.803490627020004,0.0,7054.0
"Douglas County, Missouri",-309.44562055593997,-343.9157239819324,-34.47010342598676,-34.47010342598676,0.0,7583.0,"","","","","",1949.0
"Douglas County, Nebraska",3986.1749999999993,3986.1749999999993,0.0,0.0,1.0,338533.0,1251.3785714285714,1251.3785714285714,0.0,0.0,1.0,112098.0
"Douglas County, Nevada",842.4979799612192,952.2625242404756,109.76454427925036,109.76454427925036,0.0,33799.0,"","","","","",7016.0
"Douglas County, Oregon","","","","","",65807.0,308.38214285714275,308.38214285714275,0.0,0.0,1.0,20994.0
"Douglas County, South Dakota","","","","","",2200.0,-37.24751131222001,-42.434001292827816,-5.186489980607672,-5.186489980607672,0.0,325.0
"Douglas County, Washington",168.49999999999997,168.49999999999997,0.0,0.0,1.0,27654.0,"","","","","",4891.0
"Douglas County, Wisconsin",730.3788716197014,999.2653095200658,253.42458521504886,284.34829059390177,0.0,25157.0,110.66428571428568,110.66428571428568,0.0,0.0,1.0,9739.0
"Doña Ana County, New Mexico",-1632.3411588410381,-1906.1643356641289,-273.82317682313044,-273.82317682313044,0.0,116560.0,827.9120879120876,827.9120879120876,0.0,0.0,1.0,38208.0
"Drew County, Arkansas",-584.1441949903965,-784.331367276609,-187.9369209129436,-212.4374236796939,0.0,9680.0,57.617857142857126,57.617857142857126,0.0,0.0,1.0,3505.0
"DuPage County, Illinois","","","","","",648336.0,989.3071428571428,989.3071428571428,0.0,0.0,1.0,126844.0
"Dubois County, Indiana",-126.40357142857141,-126.40357142857141,0.0,0.0,1.0,27946.0,194.98928571428567,194.98928571428567,0.0,0.0,1.0,7421.0
"Dubuque County, Iowa","","","","","",60844.0,223.08214285714283,223.08214285714283,0.0,0.0,1.0,18165.0
"Duchesne County, Utah",-262.74119263094326,-323.1117485456198,-60.37055591467471,-60.37055591467471,0.0,14541.0,43.93928571428572,43.93928571428572,0.0,0.0,1.0,1738.0
"Dukes County, Massachusetts",352.9447802197974,385.96950549451867,33.024725274724695,33.024725274724695,0.0,11995.0,86.32857142857144,86.32857142857144,0.0,0.0,1.0,3595.0
"Dundy County, Nebraska",-19.632142857142863,-19.632142857142863,0.0,0.0,1.0,1231.0,6.857142857142858,6.857142857142858,0.0,0.0,1.0,376.0
"Dunklin County, Missouri",-258.4428571428571,-258.4428571428571,0.0,0.0,1.0,13960.0,"","","","","",4955.0
"Dunn County, North Dakota",-110.00088881707052,-132.08734647706297,-22.086457659987317,-22.086457659987317,0.0,2470.0,13.157142857142857,13.157142857142857,0.0,0.0,1.0,726.0
"Dunn County, Wisconsin","","","","","",25495.0,106.11428571428569,106.11428571428569,0.0,0.0,1.0,9912.0
"Duplin County, North Carolina",-1185.443859082181,-1368.7880736910738,-183.34421460892293,-183.34421460892293,0.0,29573.0,-240.12849062703026,-263.6790723982049,-23.550581771170897,-23.550581771170897,0.0,7538.0
"Durham County, North Carolina",2595.0714285714284,2595.0714285714284,0.0,0.0,1.0,158106.0,1660.0357142857142,1660.0357142857142,0.0,0.0,1.0,75105.0
"Dutchess County, New York",-889.8357142857141,-889.8357142857141,0.0,0.0,1.0,176346.0,641.3607142857142,641.3607142857142,0.0,0.0,1.0,49374.0
"Duval County, Florida",3349.217857142857,3349.217857142857,0.0,0.0,1.0,508911.0,3449.317857142857,3449.317857142857,0.0,0.0,1.0,196068.0
"Duval County, Texas",-174.26428571428568,-174.26428571428568,0.0,0.0,1.0,5017.0,"","","","","",1524.0
"Dyer County, Tennessee",-273.6499999999999,-273.6499999999999,0.0,0.0,1.0,20351.0,124.30000000000003,124.30000000000003,0.0,0.0,1.0,6390.0
"Eagle County, Colorado",398.9142857142856,398.9142857142856,0.0,0.0,1.0,34558.0,"","","","","",13461.0
"Early County, Georgia",211.48813833227905,262.113542340041,50.625404007758064,50.625404007758064,0.0,5499.0,"","","","","",1326.0
"East Baton Rouge Parish, Louisiana",-332.6773179769516,-885.0014849603176,-495.25070038606646,-609.3976335251355,0.0,211997.0,621.5178571428571,621.5178571428571,0.0,0.0,1.0,93589.0
"East Carroll Parish, Louisiana",-82.18214285714285,-82.18214285714285,0.0,0.0,1.0,2018.0,"","","","","",978.0
"East Feliciana Parish, Louisiana",189.0060762766807,240.11661279898544,51.11053652230195,51.11053652230195,0.0,9886.0,41.007142857142846,41.007142857142846,0.0,0.0,1.0,2610.0
"Eastland County, Texas","","","","","",10557.0,-143.26898836457258,-163.73941499676584,-20.470426632191604,-20.470426632191604,0.0,2773.0
"Eaton County, Michigan",-268.16428571428565,-268.16428571428565,0.0,0.0,1.0,66746.0,223.44285714285715,223.44285714285715,0.0,0.0,1.0,19708.0
"Eau Claire County, Wisconsin",231.8964285714286,231.8964285714286,0.0,0.0,1.0,59539.0,369.44642857142867,369.44642857142867,0.0,0.0,1.0,26796.0
"Echols County, Georgia","","","","","",2192.0,-60.167582417587255,-71.33241758242366,-11.164835164835251,-11.164835164835251,0.0,280.0
"Ector County, Texas",1617.0142857142857,1617.0142857142857,0.0,0.0,1.0,96518.0,453.3642857142857,453.3642857142857,0.0,0.0,1.0,22951.0
"Eddy County, New Mexico",275.45,275.45,0.0,0.0,1.0,36723.0,"","","","","",7488.0
"Eddy County, North Dakota",-55.09179659932852,-95.14265669696033,-36.37696617929396,-43.72475401289921,0.0,1391.0,44.706937696784735,63.08686659578234,16.981738854148716,19.778118944875132,0.0,597.0
"Edgar County, Illinois",-88.23928571428573,-88.23928571428573,0.0,0.0,1.0,10455.0,127.78745959923253,149.6520361990988,21.864576599870848,21.864576599870848,0.0,2994.0
"Edgecombe County, North Carolina",-365.825,-365.825,0.0,0.0,1.0,23009.0,"","","","","",7133.0
"Edgefield County, South Carolina","","","","","",13989.0,122.1027149321344,136.86031027796344,14.757595345830602,14.757595345830602,0.0,3404.0
"Edmonson County, Kentucky",217.29470331966877,382.8270060122013,151.6715686552925,179.39303673148243,0.0,7647.0,-15.302178038284183,-50.59493103809655,-32.15185305025807,-38.43365295028161,0.0,1890.0
"Edmunds County, South Dakota",67.59111182935521,81.5836780866266,13.99256625727214,13.99256625727214,0.0,2959.0,"","","","","",604.0
"Edwards County, Illinois",-49.07142857142856,-49.07142857142856,0.0,0.0,1.0,4019.0,"","","","","",1020.0
"Edwards County, Kansas",-41.00714285714285,-41.00714285714285,0.0,0.0,1.0,1582.0,"","","","","",519.0
"Edwards County, Texas",-140.75159987072402,-157.9072236587017,-17.155623787977063,-17.155623787977063,0.0,617.0,"","","","","",267.0
"Effingham County, Georgia",623.5250000000001,623.5250000000001,0.0,0.0,1.0,45600.0,223.67499999999998,223.67499999999998,0.0,0.0,1.0,6843.0
"Effingham County, Illinois",173.37861990951933,213.59112798966817,40.212508080155075,40.212508080155075,0.0,22879.0,46.21071428571428,46.21071428571428,0.0,0.0,1.0,5877.0
"El Dorado County, California",681.6357142857144,681.6357142857144,0.0,0.0,1.0,132112.0,379.3428571428571,379.3428571428571,0.0,0.0,1.0,29573.0
"El Paso County, Colorado",6848.942857142857,6848.942857142857,0.0,0.0,1.0,463588.0,2111.6892857142852,2111.6892857142852,0.0,0.0,1.0,118323.0
"El Paso County, Texas",2469.728571428571,2469.728571428571,0.0,0.0,1.0,503437.0,2465.8999999999987,2465.8999999999987,0.0,0.0,1.0,98170.0
"Elbert County, Colorado",207.07142857142853,207.07142857142853,0.0,0.0,1.0,20579.0,-79.52344861021265,-96.54461861667369,-17.021170006464423,-17.021170006464423,0.0,2315.0
"Elbert County, Georgia","","","","","",11129.0,55.49285714285714,55.49285714285714,0.0,0.0,1.0,3204.0
