"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Genesee County, Michigan","","","","","",211351.0,0.0,0.0,0.0,0.0,0.0,75142.0
"Genesee County, New York",-152903513.1758807,-152903513.1758807,0.0,0.0,1.0,34280.0,0.0,0.0,0.0,0.0,0.0,11542.0
"Geneva County, Alabama",0.0,0.0,0.0,0.0,0.0,16434.0,0.0,0.0,0.0,0.0,0.0,4336.0
"Gentry County, Missouri",-39192357.99405209,-39192357.99405209,0.0,0.0,1.0,4039.0,-16746728210226.945,-16755010469480.271,-8282259253.327014,-8282259253.327014,1.0,1078.0
"George County, Mississippi",0.0,0.0,0.0,0.0,0.0,16059.0,0.0,0.0,0.0,0.0,0.0,2663.0
"Georgetown County, South Carolina",0.0,0.0,0.0,0.0,0.0,36025.0,0.0,0.0,0.0,0.0,0.0,9061.0
"Gibson County, Indiana",-70798579.77573217,-70798579.77573217,0.0,0.0,1.0,21182.0,0.0,0.0,0.0,0.0,0.0,5274.0
"Gibson County, Tennessee",0.0,0.0,0.0,0.0,0.0,30865.0,0.0,0.0,0.0,0.0,0.0,7747.0
"Gila County, Arizona",-107694338870737.33,-107747600165925.62,-53261295188.2975,-53261295188.2975,1.0,29713.0,0.0,0.0,0.0,0.0,0.0,10228.0
"Gilchrist County, Florida",0.0,0.0,0.0,0.0,0.0,11536.0,0.0,0.0,0.0,0.0,0.0,2361.0
"Giles County, Tennessee","","","","","",16644.0,0.0,0.0,0.0,0.0,0.0,4645.0
"Giles County, Virginia","","","","","",10176.0,0.0,0.0,0.0,0.0,0.0,3126.0
"Gillespie County, Texas",0.0,0.0,0.0,0.0,0.0,18664.0,0.0,0.0,0.0,0.0,0.0,4497.0
"Gilliam County, Oregon",-15021177.228743212,-15021177.228743212,0.0,0.0,1.0,1045.0,0.0,0.0,0.0,0.0,0.0,504.0
"Gilmer County, Georgia",0.0,0.0,0.0,0.0,0.0,20031.0,"","","","","",4607.0
"Gilmer County, West Virginia",-73665818.01411273,-73665818.01411273,0.0,0.0,1.0,3136.0,-37198474.83008103,-37198474.83008103,0.0,0.0,1.0,839.0
"Gilpin County, Colorado",0.0,0.0,0.0,0.0,0.0,3161.0,0.0,0.0,0.0,0.0,0.0,1530.0
"Glacier County, Montana","","","","","",6735.0,0.0,0.0,0.0,0.0,0.0,1597.0
"Glades County, Florida",0.0,0.0,0.0,0.0,0.0,6648.0,-15185423.610130483,-15185423.610130483,0.0,0.0,1.0,1702.0
"Gladwin County, Michigan",-132503872211221.17,-132569403305292.0,-65531094070.831856,-65531094070.831856,1.0,16900.0,0.0,0.0,0.0,0.0,0.0,4663.0
"Glascock County, Georgia",-6417685.362118122,-6417685.362118122,0.0,0.0,1.0,1828.0,0.0,0.0,0.0,0.0,0.0,348.0
"Glasscock County, Texas",-9217850.708222669,-9217850.708222669,0.0,0.0,1.0,912.0,-32996.65571838551,-32996.65571838551,0.0,0.0,1.0,79.0
"Glenn County, California",0.0,0.0,0.0,0.0,0.0,18925.0,0.0,0.0,0.0,0.0,0.0,3425.0
"Gloucester County, New Jersey",-686948803942523.8,-687288541234285.6,-339737291761.8812,-339737291761.8812,1.0,192604.0,0.0,0.0,0.0,0.0,0.0,41671.0
"Gloucester County, Virginia",0.0,0.0,0.0,0.0,0.0,25782.0,0.0,0.0,0.0,0.0,0.0,5438.0
"Glynn County, Georgia",0.0,0.0,0.0,0.0,0.0,45186.0,0.0,0.0,0.0,0.0,0.0,13818.0
"Gogebic County, Michigan","","","","","",8300.0,0.0,0.0,0.0,0.0,0.0,3564.0
"Golden Valley County, Montana","","","","","",574.0,0.0,0.0,0.0,0.0,0.0,204.0
"Golden Valley County, North Dakota",0.0,0.0,0.0,0.0,0.0,1232.0,-14275084.915389927,-14275084.915389927,0.0,0.0,1.0,199.0
"Goliad County, Texas","","","","","",4838.0,0.0,0.0,0.0,0.0,0.0,1053.0
"Gonzales County, Texas",-86224815.73580946,-86224815.73580946,0.0,0.0,1.0,11197.0,0.0,0.0,0.0,0.0,0.0,2633.0
"Goochland County, Virginia",0.0,0.0,0.0,0.0,0.0,18186.0,0.0,0.0,0.0,0.0,0.0,3141.0
"Goodhue County, Minnesota",-28661820661818.086,-28675995647308.598,-14174985490.513834,-14174985490.513834,1.0,30485.0,0.0,0.0,0.0,0.0,0.0,8473.0
"Gooding County, Idaho",-1203110.3362444686,-1203110.3362444686,0.0,0.0,1.0,10656.0,0.0,0.0,0.0,0.0,0.0,2255.0
"Gordon County, Georgia",0.0,0.0,0.0,0.0,0.0,37558.0,-169442568120310.94,-169526367609984.7,-83799489673.74428,-83799489673.74428,1.0,6772.0
"Goshen County, Wyoming",0.0,0.0,0.0,0.0,0.0,7746.0,-4941264628909.942,-4943708379962.815,-2443751052.873698,-2443751052.873698,1.0,2095.0
"Gosper County, Nebraska",-5036600.923084715,-5036600.923084715,0.0,0.0,1.0,1366.0,0.0,0.0,0.0,0.0,0.0,273.0
"Gove County, Kansas",-22895978424758.844,-22907301856225.094,-11323431466.250967,-11323431466.250967,1.0,1991.0,0.0,0.0,0.0,0.0,0.0,481.0
"Grady County, Georgia",-52616012.52486412,-52616012.52486412,0.0,0.0,1.0,13638.0,0.0,0.0,0.0,0.0,0.0,3914.0
"Grady County, Oklahoma",0.0,0.0,0.0,0.0,0.0,37552.0,0.0,0.0,0.0,0.0,0.0,6667.0
"Grafton County, New Hampshire",-50189005599517.91,-50213827066184.336,-24821466666.428436,-24821466666.428436,1.0,50290.0,0.0,0.0,0.0,0.0,0.0,17907.0
"Graham County, Arizona",-20203031.647483665,-20203031.647483665,0.0,0.0,1.0,20495.0,0.0,0.0,0.0,0.0,0.0,4561.0
"Graham County, Kansas",-10648707.17540986,-10648707.17540986,0.0,0.0,1.0,1533.0,-67284.39874095106,-67284.39874095106,0.0,0.0,1.0,497.0
"Graham County, North Carolina",-58071910.28999297,-58071910.28999297,0.0,0.0,1.0,5502.0,0.0,0.0,0.0,0.0,0.0,1339.0
"Grainger County, Tennessee",-50696799.04007178,-50696799.04007178,0.0,0.0,1.0,15063.0,0.0,0.0,0.0,0.0,0.0,3605.0
"Grand County, Colorado",0.0,0.0,0.0,0.0,0.0,10020.0,0.0,0.0,0.0,0.0,0.0,3865.0
"Grand County, Utah",0.0,0.0,0.0,0.0,0.0,5416.0,0.0,0.0,0.0,0.0,0.0,2433.0
"Grand Forks County, North Dakota",0.0,0.0,0.0,0.0,0.0,37134.0,0.0,0.0,0.0,0.0,0.0,20670.0
"Grand Isle County, Vermont",0.0,0.0,0.0,0.0,0.0,4944.0,0.0,0.0,0.0,0.0,0.0,1441.0
"Grand Traverse County, Michigan",0.0,0.0,0.0,0.0,0.0,58538.0,0.0,0.0,0.0,0.0,0.0,19164.0
"Granite County, Montana",0.0,0.0,0.0,0.0,0.0,2132.0,"","","","","",595.0
"Grant County, Arkansas",-28572425.562471908,-28572425.562471908,0.0,0.0,1.0,11240.0,0.0,0.0,0.0,0.0,0.0,2191.0
"Grant County, Indiana",-116070385442248.17,-116127789193703.3,-57403751455.11827,-57403751455.11827,1.0,34406.0,0.0,0.0,0.0,0.0,0.0,11696.0
"Grant County, Kansas",-9066415432663.295,-9070899317644.83,-4483884981.534838,-4483884981.534838,1.0,5865.0,0.0,0.0,0.0,0.0,0.0,714.0
"Grant County, Kentucky",-223738478088396.78,-223849130154711.53,-110652066314.73666,-110652066314.73666,1.0,14987.0,0.0,0.0,0.0,0.0,0.0,3566.0
"Grant County, Minnesota",0.0,0.0,0.0,0.0,0.0,3924.0,-8983202200277.848,-8987644931336.344,-4442731058.49577,-4442731058.49577,1.0,925.0
"Grant County, Nebraska",0.0,0.0,0.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,138.0
"Grant County, New Mexico",-3091407883189.239,-3092936769382.7056,-1528886193.466972,-1528886193.466972,1.0,14649.0,0.0,0.0,0.0,0.0,0.0,6636.0
"Grant County, North Dakota",-5928045.644940819,-5928045.644940819,0.0,0.0,1.0,1547.0,0.0,0.0,0.0,0.0,0.0,451.0
"Grant County, Oklahoma",-8782384.871952562,-8782384.871952562,0.0,0.0,1.0,2469.0,0.0,0.0,0.0,0.0,0.0,657.0
"Grant County, Oregon",-46363670734718.734,-46386600344379.82,-22929609661.087658,-22929609661.087658,1.0,4726.0,0.0,0.0,0.0,0.0,0.0,1734.0
"Grant County, South Dakota",0.0,0.0,0.0,0.0,0.0,5525.0,"","","","","",1069.0
